"tetrabutylammonium borohydride Molar Composition 
[%]","tetrabutylammonium borohydride Liquidus Temperature 
[K]","ammonia borane Molar Composition 
[%]","ammonia borane Liquidus Temperature 
[K]","Solid-Liquid Equilibrium Temperature 
[K]","Adiabatic Flame Temperature 
[K]","Characteristic Velocity 
[m/s]","Specific Impulse 
[s]"
0.18,278.08399530273334,0.82,432.9049524262507,432.9049524262507,2354.945306760761,1282.212771639028,223.4356188199666
0.17,275.2266814722475,0.83,433.9692904923533,433.9692904923533,2355.505930689127,1282.7756437561134,223.61846317316608
0.16,272.2595692271268,0.84,435.02603411445955,435.02603411445955,2356.1142165583215,1283.3826672100301,223.81479075686508
0.15,269.17040696710325,0.85,436.0753392756745,436.0753392756745,2356.776564385939,1284.0389467485863,224.02612552045449
0.14,265.9446324413952,0.86,437.1173569587347,437.1173569587347,2357.5005359657116,1284.7508873529,224.25428117732585
0.13,262.5647328556913,0.87,438.1522333628392,438.1522333628392,2358.295299825639,1285.5259102131274,224.50128531034264
0.12,259.00936228765295,0.88,439.1801101086878,439.1801101086878,2359.171943948241,1286.3728276140005,224.7695735727135
0.11,255.2520952146795,0.89,440.20112443249684,440.20112443249684,2360.143958797626,1287.3021377517184,225.0619388541966
0.1,251.2596170941264,0.9,441.2154093697001,441.2154093697001,2361.22813332004,1288.3265407338517,225.38174143210694
0.09,246.98901154642306,0.91,442.2230939289935,442.2230939289935,2362.445369215475,1289.461432987548,225.73296481090253
0.08,242.38353331181355,0.92,443.224303257331,443.224303257331,2363.8223809648084,1290.725916430886,226.12040761864944
0.07,237.36570600573341,0.93,444.2191587964357,444.2191587964357,2365.393672503567,1292.143371939091,226.54987470079217
0.06,231.82537595782486,0.94,445.20777843134937,445.20777843134937,2367.204825170445,1293.7436670300224,227.02847967412765
0.05,225.59743624516452,0.95,446.19027663150507,446.19027663150507,2369.317458671844,1295.5648793327507,227.56501780585472
0.04,218.41595377715285,0.96,447.1667645847753,447.1667645847753,2371.817209095878,1297.65653514505,228.17050008053093
0.03,209.80551462496143,0.97,448.13735032491337,448.13735032491337,2374.82760714085,1300.084432569181,228.85890202819914
0.02,198.76181496824123,0.98,449.10213885278057,449.10213885278057,2378.5350807836303,1302.938113477398,229.6473596416807
0.01,182.35281432955418,0.99,450.0612322517204,450.0612322517204,2383.2384687924664,1306.3432349815482,230.56131473037115
0.0,0.0,1.0,451.01472979742033,451.01472979742033,2389.458531781181,1310.4853550600646,231.63271717676312
