"Monoethanolamine Molar Composition 
[%]","Monoethanolamine Liquidus Temperature 
[K]","Imidazole Molar Composition 
[%]","Imidazole Liquidus Temperature 
[K]","Solid-Liquid Equilibrium Temperature 
[K]","Adiabatic Flame Temperature 
[K]","Characteristic Velocity 
[m/s]","Specific Impulse 
[s]"
0.1,203.45319233689926,0.9,354.66022321218884,354.66022321218884,2332.1508788458973,1252.9762192637916,215.91309615751686
0.09,200.8590797162401,0.91,355.5871349845287,355.5871349845287,2335.470140323387,1253.7555363812996,216.05725956731098
0.08,198.03631929327494,0.92,356.5086945895989,356.5086945895989,2338.773115524565,1254.530352007046,216.20072041949211
0.07,194.9305929202586,0.93,357.42500282036474,357.42500282036474,2342.0599867106553,1255.300720275462,216.34349041751497
0.06,191.46427680895593,0.94,358.3361575334411,358.3361575334411,2345.330736020584,1256.0666173896664,216.48556131458272
0.05,187.52034736476307,0.95,359.2422537651198,359.2422537651198,2348.5856121012807,1256.8281233567875,216.62695134169834
0.04,182.90905242041669,0.96,360.14338384163676,360.14338384163676,2351.8246631941843,1257.5852402350977,216.76765877201385
0.03,177.28844325805292,0.97,361.03963748402055,361.03963748402055,2355.048003979832,1258.3379959938538,216.90768851873264
0.02,169.92881457027647,0.98,361.93110190784415,361.93110190784415,2358.255681577682,1259.0863925430313,217.04703875634854
0.01,158.66879914182667,0.99,362.8178619181746,362.8178619181746,2361.447944639103,1259.830509770297,217.18572770002277
0.0,0.0,1.0,363.7,363.7,2364.624839861705,1260.570349491951,217.32375341137714
